Server,MessageSize,Messages,AverageBytesPerSec,AverageMsgsPerSec
10.0.0.11,128,500,563965.8081033999,4405.4
10.0.0.11,128,500,320110.68996969995,2500.5
10.0.0.11,128,500,205925.62928946665,1608.4
10.0.0.11,128,500,218819.97389375,1709
10.0.0.11,128,500,455970.62574229995,3562
10.0.0.11,128,500,264347.5550426667,2064.6666666666665
10.0.0.11,128,500,241241.01022295002,1884.15
10.0.0.11,128,500,215152.93793756003,1680.4
10.0.0.11,128,500,543052.571676,4242
10.0.0.11,128,500,346311.0142492,2705
10.0.0.11,128,500,264559.46684763994,2066.44
10.0.0.11,128,500,193884.294619,1514.2000000000003
10.0.0.11,64,500,420001.7228692,6561.8
10.0.0.11,64,500,274774.8942875,4292.8
10.0.0.11,64,500,218081.78037586669,3407.066666666667
10.0.0.11,64,500,134298.88853419997,2097.9
10.0.0.11,64,500,518304.5288849,8097.9
10.0.0.11,64,500,244164.81377146667,3814.4666666666662
10.0.0.11,64,500,198062.9587901,3094.3
10.0.0.11,64,500,143242.27014480002,2237.64
10.0.0.11,64,500,447810.36374653334,6996.533333333333
10.0.0.11,64,500,328365.3079725999,5130.15
10.0.0.11,64,500,222174.93949632003,3471.0800000000004
10.0.0.11,64,500,148966.59544153334,2327.1333333333337
10.0.0.11,32,500,394545.44197079993,12329.2
10.0.0.11,32,500,282740.78981219995,8835
10.0.0.11,32,500,173715.19561300002,5428
10.0.0.11,32,500,124316.73697589998,3884.35
10.0.0.11,32,500,384326.71239390003,12009.6
10.0.0.11,32,500,275393.27049413335,8605.533333333335
10.0.0.11,32,500,174097.33369455,5440.15
10.0.0.11,32,500,140763.8397994,4398.32
10.0.0.11,32,500,427351.7318682,13354.266666666666
10.0.0.11,32,500,274925.67492455,8591
10.0.0.11,32,500,151643.0828192,4738.360000000001
10.0.0.11,32,500,123604.91565603335,3862.1333333333337
10.0.0.11,16,500,228522.4975042,14282.2
10.0.0.11,16,500,199408.6613297,12462.7
10.0.0.11,16,500,137210.1383522667,8575.066666666668
10.0.0.11,16,500,96786.1007795,6048.6
10.0.0.11,16,500,372817.1190293,23300.6
10.0.0.11,16,500,197779.55529746666,12360.8
10.0.0.11,16,500,137022.85372865,8563.45
10.0.0.11,16,500,76616.92929164,4788.04
10.0.0.11,16,500,346261.1157044,21640.86666666667
10.0.0.11,16,500,198656.9167754,12415.55
10.0.0.11,16,500,115673.0138308,7229
10.0.0.11,16,500,71767.72973266666,4485
10.0.0.11,8,500,193765.21507099998,24220.2
10.0.0.11,8,500,142371.2667784,17795.9
10.0.0.11,8,500,101072.42087766668,12633.466666666665
10.0.0.11,8,500,76561.56905865,9569.8
10.0.0.11,8,500,176096.87551970003,22011.5
10.0.0.11,8,500,138405.98731966666,17300.266666666666
10.0.0.11,8,500,103035.19234375001,12878.9
10.0.0.11,8,500,59185.088519760015,7397.639999999999
10.0.0.11,8,500,224078.44827753335,28009.13333333333
10.0.0.11,8,500,148401.75198740003,18549.75
10.0.0.11,8,500,98862.14131132,12357.240000000002
10.0.0.11,8,500,62103.42098753333,7762.366666666666
10.0.0.11,4,500,145263.4635208,36315.4
10.0.0.11,4,500,72989.35332010001,18246.8
10.0.0.11,4,500,47595.34248913334,11898.333333333332
10.0.0.11,4,500,2077436.3911687,519358.55
10.0.0.11,4,500,174096.9066387,43523.6
10.0.0.11,4,500,87954.22850180001,21988.066666666666
10.0.0.11,4,500,74755.35185479998,18688.45
10.0.0.11,4,500,48149.6266664,12036.88
